region,name,website,address,telephone,email,google_maps,sales_territory,certification,industrial,medical,lighting,din-rail,panel-mount,open-frame,enclosed,configurable,wireless-charging-system,adapter,led-driver,stocking,after-sales,online-shop
Europe,EasyComp,https://www.easycomp.nl/delta-power-supplies-nu-ook-bij-easycomp-als-officiele-distributeur-van-hoogwaardige-industriele-voedingen-en-led-drivers,"Stationsstraat 70, 3905 JK, Veenendaal, Nederland",+31 318 70 13 43,sales@easycomp.nl,"https://www.google.com/maps/?q=52.03990904620167,5.568779097040344&sensor=true",the Netherlands,,1,0,1,1,1,0,0,0,0,0,1,1,1,1
Europe,Rutronik Elektronische Bauelemente Gmbh,DELTA Industrial Power Supplies | Rutronik24 Distributor,"Industriestraße 2, 75228 Ispringen, Germany",+49 7231 801-0,svetozara.pencheva@rutronik.com,"https://www.google.com/maps/?q=48.91324219568249,8.66692298213555&sensor=true",EMEA,,1,1,0,1,1,1,1,0,0,1,0,0,0,1
Europe,Milexia UK,Products by Partner | Milexia Products,"3 Hazelwood, Lime Tree Way, Chineham Park, Basingstoke, Hampshire, RG24 8WZ",+44 (0)1256 812222,sales-uk@milexia.com,"https://www.google.com/maps/?q=51.29620902544404,-1.0639957951709709&sensor=true",UK,,1,1,0,1,1,1,1,0,0,0,0,0,1,0
Europe,ACAL bfi,https://www.acalbfi.com/partners/delta-electronics,"Luchthavenweg 53, 5657 EA Eindhoven, Nederlands",+31402507400,contact-uk@acalbfi.com,"https://www.google.com/maps/?q=51.45913126837615,5.3939525269070705&sensor=true",EMEA,,1,1,0,1,1,1,1,0,1,0,0,0,1,0
Europe,Bicker Elektronik GmbH,https://www.bicker.de/en/products/industrial-power-supplies/din-rail?p=1,"Ludwig-Auer-Straße 23 86609 Donauwörth, Germany",+49 906 70595-42,info@bicker.de,"https://www.google.com/maps/?q=48.7065704946035,10.756299687966305&sensor=true",Germany,,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Europe,Günter Dienstleistungen GmbH,https://www.guenter-psu.de/,"Poststr. 11, D-75305 Neuenbürg",+49 (0) 7082 491350,info@guenter-psu.de,"https://www.google.com/maps/?q=48.8495794,8.5896599&sensor=true",Germany,,0,1,0,0,0,1,1,1,0,1,0,1,1,0
Europe,HorizonElectronics Ltd,Advanced Power Supply Solutions | Horizon Electronics,"3 Bazel st. Kiryat Arie - Petah Tikva 4951037, Israel",972-3-9230091,sales@horizon-pss.com,"3 Bazel st. Kiryat Arie Petah Tikva 4951037, Israel - Google Maps",Israel,,0,1,0,0,0,0,1,1,0,1,0,1,1,0
Europe,Consystem Srl,https://consystem.it/en/fornitori/delta,"Via E. Stendhal, 55 - 20144 Milan",+39024241471,support@consystem.it,"https://www.google.com/maps/?q=45.4560306133205,9.157509012662604&sensor=true",Italy,,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Europe,Totem Electro srl,Distributore Delta PSU | Totem Electro framework,"Viale Lombardia, 66- 20131 Milano ITALIA",+39 02.28.85.111,totem@totemelectro.com,TOTEM Electro - Google Maps,Italy,,1,1,0,1,1,1,1,0,0,0,0,1,0,0
Europe,Swelex AB,Power supply - SWELEX,Mårbackagatan 27- 123 43 Farsta,08-683 33 00,info@swelex.se,Swelex AB - Google Maps,Sweden,,1,1,0,1,1,1,1,0,0,1,0,0,1,0
Europe,Direktronik AB,Power Aggregates and Power Supplies - Direktronik AB,"Konsul Johnsons väg 15, 149 45 Nynäshamn",+46 8 52 400 700,info@direktronik.se,Direktronik AB - Google Maps,Sweden,,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Japan,RESTAR EMBEDDED SOLUTIONS Corporation,https://www.res.restargp.com/,"2-10-9, Konan, Minato-ku, Tokyo 108-0075, Japan",+81-3-3502-2521,,"https://www.google.com/maps/?q=35.6242679227968,139.74465476198964&sensor=true",Japan,,1,1,1,1,1,1,1,0,0,1,1,0,1,0
Korea,Bluecosmos,http://www.bluecosmos.co.kr,"Chunui Techno Tower 4F RM 404, 80 Jomaru-ro 385 Beongil, Bucheon-si, Gyeonggi-do, Korea",+82-32-662-2350,shawn.yoon@bluecosmos.co.kr,"https://www.google.com/maps/?q=37.50025251346668,126.78940941796873&sensor=true",Korea,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Korea,One Corporation,www.onecorp.co.kr,"1302, 648, Seobusaet-Gil, Geumcheon-Gu, Seoul, Korea, 08504",+82-3283-4105,sam@onecorp.co.kr,"https://www.google.com/maps/?q=37.48118615695118,126.87606330926208&sensor=true",Korea,,1,0,0,0,1,1,1,1,0,1,0,1,0,0
Korea,"UNITRONTECH Co., Ltd.",http://www.unitrontech.com/,"Sambo Bldg 9F, 638, Yeongdong-daero, Gangnam-gu, Seoul, Republic of Korea, 06080",+82-2-573-6800,anthony@unitrontech.com,"https://www.google.com/maps/?q=37.51743277297858,127.05927335773093&sensor=true",Korea,,1,0,0,1,1,1,0,0,0,1,0,1,0,0
SEA,"Electronics Source Co.,Ltd.",http://www.es.co.th,"256 Floor 5 and 6 Phahonyothin Road, Sam Sen Nai, Phayathai, Bangkok 10400, Thailand",+66 2 0624970,info@es.co.th,"https://www.google.com/maps/?q=13.7746324,100.5432432&sensor=true",Thailand,,0,0,0,1,1,1,0,0,0,1,0,1,0,0
Taiwan,"ACE PILLAR CO., LTD.",www.acepillar.com,"2F, No.7, Ln 83, Sec. 1, Guangfu Rd., Sanchong Dist., New Taipei City 241, Taiwan, R.O.C.",+886 2-2995-8400,sales@acepillar.com.tw,https://maps.app.goo.gl/BqdrcKoghmTH5KZp9,Taiwan,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Taiwan,"Faith Automation Enterprise, Co., Ltd.",www.faith.com.tw,"No.10, Wuchuan 7th Rd., Wugu Dist., New Taipei City 24890, Taiwan (R.O.C)",+886 2 2299 7828,master@faith.com.tw,"https://www.google.com/maps/?q=25.066093,121.447911&sensor=true",Taiwan,,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Taiwan,"NINE BIG Co., Ltd.",www.tdk-ninebig.com.tw,"No. 85,Dajeng St.,Taichung,Taiwan 40862",+886 4-2258-9900,"ninebig@tdk-ninebig.com.tw,  sales@tdk-ninebig.com.tw","https://www.google.com/maps/?q=24.15185,120.64546&sensor=true",Taiwan,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,"Honya Electronic Co., Ltd.",www.honyabiz.com.tw,"8F., No. 99, Sec. 3, Nangang Rd., Nangang Dist., Taipei City , Taiwan (R.O.C.)",+886 2 2785-6812,honya@honyabiz.com.tw,"https://www.google.com/maps/?q=25.052994494934335,121.58797359112621&sensor=true",Taiwan,,1,1,1,1,1,1,1,1,0,1,1,0,1,0
Taiwan,O-DEAR INTERNATIONAL CORP.,www.e-odear.com.tw,"4F., No. 123, Xingde Rd., Sanchong Dist., New Taipei City 241 , Taiwan (R.O.C.)",+886 2-8512-2893,odear@e-odear.com.tw,"https://www.google.com/maps/?q=,&sensor=true",Taiwan,,1,0,0,1,1,1,1,0,0,1,0,0,1,0
China,"Shenzhen BDW Electric Co., Ltd",www.bdwdq.com,"Room 2805, 28th floor, Building F, Galaxy WORLD, Yabao Road No.1, BanTian Street, Longgang District, Shenzhen","+86 13 622348987, +86 13 925264925",yebin@bdwasia.com,"https://www.google.com/maps/?q=22.635892521021834,114.06736899731423&sensor=true",China,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Beijing Zhonghai Jia Technology Co., Ltd.",www.zhjpower.net,"Room 522, Building 8, No.16, Xiaoying West Road, Qinghe Town, Haiding District, Beijing",+86 18 911125003,zyy369369@126.com,"https://www.google.com/maps/?q=40.036521910125046,116.33642691311012&sensor=true",China,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Shenzhen AJC Electronics Co., Ltd.",www.ajc-ele.com,"17A, Fusen Building, Huaxia 2nd Road, Dongzhou Community, Guangming Street, Guangming New District, Shenzhen",+86 13 425119012,xiayf@ajc-ele.com,"https://www.google.com/maps/?q=22.577744236991087,114.05932787417323&sensor=true",China,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"ShenZhen CESTAR Electronic Technology Co., Ltd.",http://www.ce-power.com,"No.1 Building, De tai Industrial Zone, No. 496, Huarong Road, Dalang, Longhua District, Shenzhen",+86 755 82531600,lina.lv@ce-power.com,http://www.ce-power.com,China,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Energom electronic kft,"Energom : akkumulátor, inverter, tápegység forgalmazás ipari és orvosi területekre is","Budapest, Komáromi út 28, 1142 Hungary",+36 1 459 8010,ajanlatkeres@energom.hu,,Hungary,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe,Futura Electronics Ltd,Electronic and Electrical Components - Futura.ie,"Units 3 & 4, Balbriggan Business Park, Clonard Or Folkstown Great, Balbriggan, Co. Dublin, K32 YV96, Ireland",3538020044,sales@futura.ie,,Ireland,,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Europe,Sunpower Group Holdings Ltd,https://www.sunpowergroupholdings.com,"Sunpower Group Holdings Ltd, Orion House, Calleva Park, Aldermaston, Reading RG7 8SN, United Kingdom",,+44 118 982 3745,,UK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
